reward 15,reward 1,reward 13,reward 22,reward 11,reward 26,reward 5,StepNum,reward 19,reward 0,reward 27,reward 2,reward 3,reward 23,reward 20,reward 14,reward 12,reward 16,reward 9,reward 18,reward 10,reward 6,reward 25,reward 4,reward 17,reward 21,reward 29,reward 24,reward 8,reward 28,reward 7
613.7461678159284,654.7878353156469,614.6512806466424,585.6806676444539,616.9186902054563,558.6044916340027,634.1447390885603,41000,594.9558968519804,664.2274193668964,557.2503752353311,648.2433111058588,636.7271774720641,582.5677517430028,587.1145767098892,613.784667479423,616.4511492351379,611.5126175849558,619.5891389235895,604.5447257996426,616.9567374337277,630.7785740116523,563.0052067738144,635.0690716367727,607.5823522515788,586.0978516189275,533.3656515488503,573.5177233540745,621.9365467752887,553.4381746109416,628.7249473413298
613.7461678159284,654.7878353156469,614.6512806466424,585.6806676444539,616.9186902054563,558.6044916340027,634.1447390885603,42000,594.9558968519804,664.2274193668964,557.2503752353311,648.2433111058588,636.7271774720641,582.5677517430028,587.1145767098892,613.784667479423,616.4511492351379,611.5126175849558,619.5891389235895,604.5447257996426,616.9567374337277,630.7785740116523,563.0052067738144,635.0690716367727,607.5823522515788,586.0978516189275,533.3656515488503,573.5177233540745,621.9365467752887,553.4381746109416,628.7249473413298
613.7461678159284,654.7878353156469,614.6512806466424,585.6806676444539,616.9186902054563,558.6044916340027,634.1447390885603,43000,594.9558968519804,664.2274193668964,557.2503752353311,648.2433111058588,636.7271774720641,582.5677517430028,587.1145767098892,613.784667479423,616.4511492351379,611.5126175849558,619.5891389235895,604.5447257996426,616.9567374337277,630.7785740116523,563.0052067738144,635.0690716367727,607.5823522515788,586.0978516189275,533.3656515488503,573.5177233540745,621.9365467752887,553.4381746109416,628.7249473413298
614.6512806466424,664.2274193668964,616.9186902054563,594.9558968519804,619.5891389235895,582.5677517430028,635.6271509418938,44000,611.5126175849558,673.4160884611574,573.5177233540745,654.7878353156469,648.2433111058588,587.1145767098892,607.5823522515788,616.4511492351379,616.9567374337277,613.784667479423,628.7249473413298,613.1372803187579,621.9365467752887,635.0690716367727,585.6806676444539,636.7271774720641,613.7461678159284,604.5447257996426,558.6044916340027,586.0978516189275,630.7785740116523,563.0052067738144,634.1447390885603
614.6512806466424,664.2274193668964,616.9186902054563,594.9558968519804,619.5891389235895,582.5677517430028,635.6271509418938,45000,611.5126175849558,673.4160884611574,573.5177233540745,654.7878353156469,648.2433111058588,587.1145767098892,607.5823522515788,616.4511492351379,616.9567374337277,613.784667479423,628.7249473413298,613.1372803187579,621.9365467752887,635.0690716367727,585.6806676444539,636.7271774720641,613.7461678159284,604.5447257996426,558.6044916340027,586.0978516189275,630.7785740116523,563.0052067738144,634.1447390885603
614.6512806466424,664.2274193668964,616.9186902054563,594.9558968519804,619.5891389235895,582.5677517430028,635.6271509418938,46000,611.5126175849558,673.4160884611574,573.5177233540745,654.7878353156469,648.2433111058588,587.1145767098892,607.5823522515788,616.4511492351379,616.9567374337277,613.784667479423,628.7249473413298,613.1372803187579,621.9365467752887,635.0690716367727,585.6806676444539,636.7271774720641,613.7461678159284,604.5447257996426,558.6044916340027,586.0978516189275,630.7785740116523,563.0052067738144,634.1447390885603
614.6512806466424,664.2274193668964,616.9186902054563,594.9558968519804,619.5891389235895,582.5677517430028,635.6271509418938,47000,611.5126175849558,673.4160884611574,573.5177233540745,654.7878353156469,648.2433111058588,587.1145767098892,607.5823522515788,616.4511492351379,616.9567374337277,613.784667479423,628.7249473413298,613.1372803187579,621.9365467752887,635.0690716367727,585.6806676444539,636.7271774720641,613.7461678159284,604.5447257996426,558.6044916340027,586.0978516189275,630.7785740116523,563.0052067738144,634.1447390885603
614.6512806466424,664.2274193668964,616.9186902054563,594.9558968519804,619.5891389235895,585.6806676444539,635.6271509418938,48000,611.5126175849558,673.4160884611574,582.5677517430028,654.7878353156469,648.2433111058588,592.0267354036838,607.5823522515788,616.4511492351379,616.9567374337277,613.784667479423,628.7249473413298,613.1372803187579,621.9365467752887,635.0690716367727,586.0978516189275,636.7271774720641,613.7461678159284,604.5447257996426,563.0052067738144,587.1145767098892,630.7785740116523,573.5177233540745,634.1447390885603
614.6512806466424,664.2274193668964,616.9186902054563,594.9558968519804,619.5891389235895,585.6806676444539,635.6271509418938,49000,611.5126175849558,673.4160884611574,582.5677517430028,654.7878353156469,648.2433111058588,592.0267354036838,607.5823522515788,616.4511492351379,616.9567374337277,613.784667479423,628.7249473413298,613.1372803187579,621.9365467752887,635.0690716367727,586.0978516189275,636.7271774720641,613.7461678159284,604.5447257996426,563.0052067738144,587.1145767098892,630.7785740116523,573.5177233540745,634.1447390885603
616.4511492351379,664.2274193668964,616.9567374337277,604.5447257996426,621.9365467752887,586.0978516189275,636.7271774720641,50000,613.1372803187579,673.4160884611574,585.6806676444539,654.7878353156469,648.2433111058588,594.9558968519804,611.5126175849558,616.9186902054563,619.5891389235895,614.6512806466424,630.7785740116523,613.7461678159284,628.7249473413298,635.6271509418938,587.1145767098892,647.6776462363587,613.784667479423,607.5823522515788,573.5177233540745,592.0267354036838,634.1447390885603,582.5677517430028,635.0690716367727
