reward 19,reward 11,reward 8,reward 29,StepNum,reward 1,reward 28,reward 25,reward 7,reward 22,reward 0,reward 15,reward 10,reward 17,reward 18,reward 9,reward 4,reward 27,reward 5,reward 2,reward 20,reward 16,reward 24,reward 12,reward 3,reward 13,reward 14,reward 21,reward 23,reward 6,reward 26
284.45743793721215,309.82892019038036,317.6168624800791,263.2855039300623,41000,374.59167660652037,266.9354877445136,270.38047687136293,322.13533983159584,278.8542530450188,407.2138798029901,304.30376584310375,311.2566242177317,288.8472694451518,288.4986045299253,314.40913133517745,332.17923790804036,268.31661464996233,322.4499256421668,368.7829471585018,283.68121836995493,297.74891953255815,270.96302911691356,309.2136076694738,342.91913605282195,308.9263850426993,308.6746991473207,279.739087188816,277.63946301393435,322.3946102560306,270.11691784136553
284.45743793721215,309.82892019038036,317.6168624800791,266.9354877445136,42000,374.59167660652037,266.9543721585801,270.38047687136293,322.13533983159584,278.8542530450188,407.2138798029901,304.30376584310375,311.2566242177317,288.8472694451518,288.4986045299253,314.40913133517745,332.17923790804036,268.31661464996233,322.4499256421668,368.7829471585018,283.68121836995493,297.74891953255815,270.96302911691356,309.2136076694738,342.91913605282195,308.9263850426993,308.6746991473207,279.739087188816,277.63946301393435,322.3946102560306,270.11691784136553
284.45743793721215,309.82892019038036,317.6168624800791,266.9354877445136,43000,374.59167660652037,266.9543721585801,270.38047687136293,322.13533983159584,278.8542530450188,407.2138798029901,304.30376584310375,311.2566242177317,288.8472694451518,288.4986045299253,314.40913133517745,332.17923790804036,268.31661464996233,322.4499256421668,368.7829471585018,283.68121836995493,297.74891953255815,270.96302911691356,309.2136076694738,342.91913605282195,308.9263850426993,308.6746991473207,279.739087188816,277.63946301393435,322.3946102560306,270.11691784136553
288.4986045299253,311.2566242177317,322.13533983159584,268.31661464996233,44000,374.59167660652037,270.11691784136553,277.63946301393435,322.3946102560306,283.68121836995493,407.2138798029901,308.6746991473207,314.40913133517745,297.74891953255815,288.8472694451518,317.6168624800791,332.17923790804036,270.38047687136293,325.7937135300934,368.7829471585018,286.05340651431993,304.30376584310375,278.8542530450188,309.82892019038036,342.91913605282195,309.2136076694738,308.9263850426993,284.45743793721215,279.739087188816,322.4499256421668,270.96302911691356
297.74891953255815,314.40913133517745,322.13533983159584,270.38047687136293,45000,374.59167660652037,270.96302911691356,279.739087188816,322.3946102560306,286.05340651431993,407.2138798029901,309.2136076694738,317.6168624800791,308.6746991473207,304.30376584310375,319.48695799726926,332.17923790804036,277.63946301393435,325.7937135300934,368.7829471585018,288.8472694451518,308.9263850426993,283.68121836995493,313.0605401730897,342.91913605282195,311.2566242177317,309.82892019038036,288.4986045299253,284.45743793721215,322.4499256421668,278.8542530450188
297.74891953255815,314.40913133517745,322.13533983159584,270.38047687136293,46000,374.59167660652037,270.96302911691356,279.739087188816,322.3946102560306,286.05340651431993,407.2138798029901,309.2136076694738,317.6168624800791,308.6746991473207,304.30376584310375,319.48695799726926,332.17923790804036,277.63946301393435,325.7937135300934,368.7829471585018,288.8472694451518,308.9263850426993,283.68121836995493,313.0605401730897,342.91913605282195,311.2566242177317,309.82892019038036,288.4986045299253,284.45743793721215,322.4499256421668,278.8542530450188
297.74891953255815,314.40913133517745,322.13533983159584,270.38047687136293,47000,374.59167660652037,270.96302911691356,279.739087188816,322.3946102560306,286.05340651431993,407.2138798029901,309.2136076694738,317.6168624800791,308.6746991473207,304.30376584310375,319.48695799726926,332.17923790804036,277.63946301393435,325.7937135300934,368.7829471585018,288.8472694451518,308.9263850426993,283.68121836995493,313.0605401730897,342.91913605282195,311.2566242177317,309.82892019038036,288.4986045299253,284.45743793721215,322.4499256421668,278.8542530450188
304.30376584310375,317.6168624800791,322.2304958764344,270.96302911691356,48000,374.59167660652037,277.63946301393435,283.68121836995493,322.3946102560306,288.4986045299253,407.2138798029901,309.82892019038036,319.48695799726926,308.9263850426993,308.6746991473207,322.13533983159584,332.17923790804036,278.8542530450188,325.7937135300934,368.7829471585018,297.74891953255815,309.2136076694738,284.45743793721215,314.40913133517745,342.91913605282195,313.0605401730897,311.2566242177317,288.8472694451518,286.05340651431993,322.4499256421668,279.739087188816
304.30376584310375,317.6168624800791,322.2304958764344,277.63946301393435,49000,374.59167660652037,278.8542530450188,284.45743793721215,322.3946102560306,288.8472694451518,407.2138798029901,309.82892019038036,319.48695799726926,308.9263850426993,308.6746991473207,322.13533983159584,332.17923790804036,279.739087188816,325.7937135300934,368.7829471585018,303.5369444261454,309.2136076694738,286.05340651431993,314.40913133517745,342.91913605282195,313.0605401730897,311.2566242177317,297.74891953255815,288.4986045299253,322.4499256421668,283.68121836995493
308.9263850426993,322.13533983159584,322.4499256421668,279.739087188816,50000,378.63919542927397,283.68121836995493,288.4986045299253,325.7937135300934,303.5369444261454,407.2138798029901,313.0605401730897,322.2304958764344,309.82892019038036,309.2136076694738,322.3946102560306,342.91913605282195,284.45743793721215,332.17923790804036,374.59167660652037,308.6746991473207,311.2566242177317,288.8472694451518,319.48695799726926,368.7829471585018,317.6168624800791,314.40913133517745,304.30376584310375,297.74891953255815,327.46308931882345,286.05340651431993
308.9263850426993,322.13533983159584,322.4499256421668,279.739087188816,51000,378.63919542927397,283.68121836995493,288.4986045299253,325.7937135300934,303.5369444261454,407.2138798029901,313.0605401730897,322.2304958764344,309.82892019038036,309.2136076694738,322.3946102560306,342.91913605282195,284.45743793721215,332.17923790804036,374.59167660652037,308.6746991473207,311.2566242177317,288.8472694451518,319.48695799726926,368.7829471585018,317.6168624800791,314.40913133517745,304.30376584310375,297.74891953255815,327.46308931882345,286.05340651431993
309.2136076694738,322.2304958764344,325.7937135300934,283.68121836995493,52000,378.63919542927397,284.45743793721215,288.8472694451518,327.46308931882345,304.30376584310375,407.2138798029901,314.40913133517745,322.3946102560306,311.2566242177317,309.82892019038036,322.4499256421668,342.91913605282195,286.05340651431993,342.30458164705703,374.59167660652037,308.9263850426993,313.0605401730897,297.74891953255815,322.13533983159584,368.7829471585018,319.48695799726926,317.6168624800791,308.6746991473207,303.5369444261454,332.17923790804036,288.4986045299253
309.2136076694738,322.2304958764344,325.7937135300934,283.68121836995493,53000,378.63919542927397,284.45743793721215,288.8472694451518,327.46308931882345,304.30376584310375,407.2138798029901,314.40913133517745,322.3946102560306,311.2566242177317,309.82892019038036,322.4499256421668,342.91913605282195,286.05340651431993,342.30458164705703,374.59167660652037,308.9263850426993,313.0605401730897,297.74891953255815,322.13533983159584,368.7829471585018,319.48695799726926,317.6168624800791,308.6746991473207,303.5369444261454,332.17923790804036,288.4986045299253
309.82892019038036,322.2304958764344,325.7937135300934,284.45743793721215,54000,378.63919542927397,286.05340651431993,297.74891953255815,327.46308931882345,308.6746991473207,407.2138798029901,316.8578271710995,322.3946102560306,313.0605401730897,311.2566242177317,322.4499256421668,342.91913605282195,288.4986045299253,342.30458164705703,374.59167660652037,309.2136076694738,314.40913133517745,303.5369444261454,322.13533983159584,368.7829471585018,319.48695799726926,317.6168624800791,308.9263850426993,304.30376584310375,332.17923790804036,288.8472694451518
