reward 22,reward 7,reward 2,reward 24,reward 1,reward 17,reward 3,reward 9,reward 26,StepNum,reward 25,reward 18,reward 28,reward 8,reward 15,reward 20,reward 6,reward 19,reward 14,reward 11,reward 4,reward 0,reward 21,reward 10,reward 23,reward 12,reward 27,reward 5,reward 29,reward 16,reward 13
168.36844822754384,367.182626596038,401.9926776663359,167.01608094904026,435.3561975417414,230.90147934009823,382.887896122621,348.52907473628443,166.08633971352901,45000,166.57176233026297,230.24043361545876,165.57036447046823,355.78960747448036,233.4938721630461,224.12151222715576,369.8773628932794,226.19688832247263,233.82930569942732,242.63007888737062,380.2867603608944,441.3980236939136,169.8768148507566,245.29345606374602,167.22414794465746,242.1044110002045,166.02835076820827,376.9217977302163,165.44204869836517,232.03981953374043,236.96976531149394
168.36844822754384,367.182626596038,401.9926776663359,167.01608094904026,435.3561975417414,230.90147934009823,382.887896122621,348.52907473628443,166.57176233026297,46000,166.61544601609086,230.24043361545876,166.08633971352901,355.78960747448036,233.4938721630461,224.12151222715576,369.8773628932794,226.19688832247263,233.82930569942732,242.63007888737062,380.2867603608944,441.3980236939136,169.8768148507566,245.29345606374602,167.22414794465746,242.1044110002045,166.13534709006464,376.9217977302163,166.02835076820827,232.03981953374043,236.96976531149394
168.36844822754384,367.182626596038,401.9926776663359,167.01608094904026,435.3561975417414,230.90147934009823,382.887896122621,348.52907473628443,166.57176233026297,47000,166.61544601609086,230.24043361545876,166.08633971352901,355.78960747448036,233.4938721630461,224.12151222715576,369.8773628932794,226.19688832247263,233.82930569942732,242.63007888737062,380.2867603608944,441.3980236939136,169.8768148507566,245.29345606374602,167.22414794465746,242.1044110002045,166.13534709006464,376.9217977302163,166.02835076820827,232.03981953374043,236.96976531149394
169.8768148507566,367.182626596038,401.9926776663359,167.22414794465746,435.3561975417414,232.03981953374043,382.887896122621,348.52907473628443,166.61544601609086,48000,167.01608094904026,230.90147934009823,166.13534709006464,355.78960747448036,233.82930569942732,226.19688832247263,369.8773628932794,230.24043361545876,236.96976531149394,242.63007888737062,380.2867603608944,441.3980236939136,224.12151222715576,245.29345606374602,168.36844822754384,242.1921918348165,166.57176233026297,376.9217977302163,166.08633971352901,233.4938721630461,242.1044110002045
169.8768148507566,367.182626596038,401.9926776663359,167.22414794465746,435.3561975417414,232.03981953374043,382.887896122621,348.52907473628443,166.61544601609086,49000,167.01608094904026,230.90147934009823,166.13534709006464,355.78960747448036,233.82930569942732,226.19688832247263,369.8773628932794,230.24043361545876,236.96976531149394,242.63007888737062,380.2867603608944,441.3980236939136,224.12151222715576,245.29345606374602,168.36844822754384,242.1921918348165,166.57176233026297,376.9217977302163,166.08633971352901,233.4938721630461,242.1044110002045
224.12151222715576,367.182626596038,401.9926776663359,168.36844822754384,435.3561975417414,233.4938721630461,382.887896122621,355.78960747448036,167.01608094904026,50000,167.22414794465746,232.03981953374043,166.57176233026297,366.82481712949766,236.96976531149394,230.24043361545876,369.8773628932794,230.90147934009823,242.1044110002045,245.29345606374602,380.2867603608944,441.3980236939136,226.19688832247263,348.52907473628443,169.8768148507566,242.63007888737062,166.61544601609086,376.9217977302163,166.13534709006464,233.82930569942732,242.1921918348165
230.90147934009823,369.8773628932794,435.3561975417414,226.19688832247263,441.3980236939136,242.1044110002045,401.9926776663359,367.182626596038,169.8768148507566,51000,224.12151222715576,236.96976531149394,167.22414794465746,369.8757552769142,242.63007888737062,233.4938721630461,376.9217977302163,233.82930569942732,245.29345606374602,355.78960747448036,382.887896122621,446.0207764276793,232.03981953374043,366.82481712949766,230.24043361545876,348.52907473628443,168.36844822754384,380.2867603608944,167.01608094904026,242.1921918348165,339.97761498812116
230.90147934009823,369.8773628932794,435.3561975417414,226.19688832247263,441.3980236939136,242.1044110002045,401.9926776663359,367.182626596038,169.8768148507566,52000,224.12151222715576,236.96976531149394,167.22414794465746,369.8757552769142,242.63007888737062,233.4938721630461,376.9217977302163,233.82930569942732,245.29345606374602,355.78960747448036,382.887896122621,446.0207764276793,232.03981953374043,366.82481712949766,230.24043361545876,348.52907473628443,168.36844822754384,380.2867603608944,167.01608094904026,242.1921918348165,339.97761498812116
230.90147934009823,369.8773628932794,435.3561975417414,226.19688832247263,441.3980236939136,242.1044110002045,401.9926776663359,367.182626596038,169.8768148507566,53000,224.12151222715576,236.96976531149394,167.22414794465746,369.8757552769142,242.63007888737062,233.4938721630461,376.9217977302163,233.82930569942732,245.29345606374602,355.78960747448036,382.887896122621,446.0207764276793,232.03981953374043,366.82481712949766,230.24043361545876,348.52907473628443,168.36844822754384,380.2867603608944,167.01608094904026,242.1921918348165,339.97761498812116
230.90147934009823,369.8773628932794,435.3561975417414,226.19688832247263,441.3980236939136,242.1044110002045,401.9926776663359,367.182626596038,169.8768148507566,54000,224.12151222715576,236.96976531149394,167.22414794465746,369.8757552769142,242.63007888737062,233.4938721630461,376.9217977302163,233.82930569942732,245.29345606374602,355.78960747448036,382.887896122621,446.0207764276793,232.03981953374043,366.82481712949766,230.24043361545876,348.52907473628443,168.36844822754384,380.2867603608944,167.01608094904026,242.1921918348165,339.97761498812116
230.90147934009823,369.8773628932794,435.3561975417414,226.19688832247263,441.3980236939136,242.1044110002045,401.9926776663359,367.182626596038,169.8768148507566,55000,224.12151222715576,236.96976531149394,167.22414794465746,369.8757552769142,242.63007888737062,233.4938721630461,376.9217977302163,233.82930569942732,245.29345606374602,355.78960747448036,382.887896122621,446.0207764276793,232.03981953374043,366.82481712949766,230.24043361545876,348.52907473628443,168.36844822754384,380.2867603608944,167.01608094904026,242.1921918348165,339.97761498812116
