reward 27,reward 2,StepNum,reward 1,reward 11,reward 14,reward 10,reward 12,reward 6,reward 23,reward 13,reward 9,reward 29,reward 21,reward 26,reward 3,reward 7,reward 28,reward 0,reward 16,reward 4,reward 24,reward 18,reward 15,reward 25,reward 20,reward 19,reward 22,reward 17,reward 8,reward 5
213.18694402329834,341.30984615476393,43000,347.9386215549627,261.4200580270982,255.3046229567508,264.98130047053667,259.7600252912879,295.5981498381689,230.53830052115583,256.1335995809985,267.5633421590237,205.3941251017945,241.3110032717216,213.84294743219112,335.396697950973,286.0804225473714,207.6221728057485,359.8640405546603,249.74027593056948,332.1813594006932,229.19102322449794,248.81280135149012,253.74160865901752,215.71822908450292,246.14206470048413,247.13862449191225,239.9034325504158,249.54976269025633,279.6683753997426,299.98199883455766
229.19102322449794,341.30984615476393,44000,347.9386215549627,267.5633421590237,259.7600252912879,271.8204831225197,264.98130047053667,299.98199883455766,241.3110032717216,261.4200580270982,279.6683753997426,213.84294743219112,247.13862449191225,230.53830052115583,335.396697950973,295.5981498381689,215.71822908450292,359.8640405546603,255.3046229567508,335.26901236132795,239.9034325504158,249.74027593056948,256.1335995809985,237.58478201777666,248.81280135149012,249.54976269025633,246.14206470048413,253.74160865901752,286.0804225473714,332.1813594006932
229.19102322449794,341.30984615476393,45000,347.9386215549627,267.5633421590237,259.7600252912879,271.8204831225197,264.98130047053667,299.98199883455766,241.3110032717216,261.4200580270982,279.6683753997426,213.84294743219112,247.13862449191225,230.53830052115583,335.396697950973,295.5981498381689,215.71822908450292,359.8640405546603,255.3046229567508,335.26901236132795,239.9034325504158,249.74027593056948,256.1335995809985,237.58478201777666,248.81280135149012,249.54976269025633,246.14206470048413,253.74160865901752,286.0804225473714,332.1813594006932
230.53830052115583,341.30984615476393,46000,347.9386215549627,271.8204831225197,261.4200580270982,279.6683753997426,267.5633421590237,299.98199883455766,246.14206470048413,264.98130047053667,285.55099546903364,215.71822908450292,248.81280135149012,237.58478201777666,335.396697950973,295.5981498381689,229.19102322449794,359.8640405546603,256.1335995809985,335.26901236132795,241.3110032717216,253.74160865901752,259.7600252912879,239.9034325504158,249.54976269025633,249.74027593056948,247.13862449191225,255.3046229567508,286.0804225473714,332.1813594006932
230.53830052115583,341.30984615476393,47000,347.9386215549627,271.8204831225197,261.4200580270982,279.6683753997426,267.5633421590237,299.98199883455766,246.14206470048413,264.98130047053667,285.55099546903364,215.71822908450292,248.81280135149012,237.58478201777666,335.396697950973,295.5981498381689,229.19102322449794,359.8640405546603,256.1335995809985,335.26901236132795,241.3110032717216,253.74160865901752,259.7600252912879,239.9034325504158,249.54976269025633,249.74027593056948,247.13862449191225,255.3046229567508,286.0804225473714,332.1813594006932
237.58478201777666,341.30984615476393,48000,347.9386215549627,271.8204831225197,263.65041306539547,279.6683753997426,267.5633421590237,299.98199883455766,247.13862449191225,264.98130047053667,285.55099546903364,229.19102322449794,249.54976269025633,239.9034325504158,335.396697950973,295.5981498381689,230.53830052115583,359.8640405546603,259.7600252912879,335.26901236132795,246.14206470048413,255.3046229567508,261.4200580270982,241.3110032717216,249.74027593056948,253.74160865901752,248.81280135149012,256.1335995809985,286.0804225473714,332.1813594006932
237.58478201777666,341.30984615476393,49000,347.9386215549627,271.8204831225197,263.65041306539547,279.6683753997426,267.5633421590237,299.98199883455766,247.13862449191225,264.98130047053667,285.55099546903364,229.19102322449794,249.54976269025633,239.9034325504158,335.396697950973,295.5981498381689,230.53830052115583,359.8640405546603,259.7600252912879,335.26901236132795,246.14206470048413,255.3046229567508,261.4200580270982,241.3110032717216,249.74027593056948,253.74160865901752,248.81280135149012,256.1335995809985,286.0804225473714,332.1813594006932
237.58478201777666,341.30984615476393,50000,347.9386215549627,271.8204831225197,263.65041306539547,279.6683753997426,267.5633421590237,299.98199883455766,247.13862449191225,264.98130047053667,285.55099546903364,229.19102322449794,249.54976269025633,239.9034325504158,335.396697950973,295.5981498381689,230.53830052115583,359.8640405546603,259.7600252912879,335.26901236132795,246.14206470048413,255.3046229567508,261.4200580270982,241.3110032717216,249.74027593056948,253.74160865901752,248.81280135149012,256.1335995809985,286.0804225473714,332.1813594006932
237.58478201777666,341.30984615476393,51000,347.9386215549627,271.8204831225197,263.65041306539547,279.6683753997426,267.5633421590237,299.98199883455766,247.13862449191225,264.98130047053667,285.55099546903364,229.19102322449794,249.54976269025633,239.9034325504158,335.396697950973,295.5981498381689,230.53830052115583,359.8640405546603,259.7600252912879,335.26901236132795,246.14206470048413,255.3046229567508,261.4200580270982,241.3110032717216,249.74027593056948,253.74160865901752,248.81280135149012,256.1335995809985,286.0804225473714,332.1813594006932
237.58478201777666,341.30984615476393,52000,347.9386215549627,271.8204831225197,263.65041306539547,279.6683753997426,267.5633421590237,299.98199883455766,247.13862449191225,264.98130047053667,285.55099546903364,229.19102322449794,249.54976269025633,239.9034325504158,335.396697950973,295.5981498381689,230.53830052115583,359.8640405546603,259.7600252912879,335.26901236132795,246.14206470048413,255.3046229567508,261.4200580270982,241.3110032717216,249.74027593056948,253.74160865901752,248.81280135149012,256.1335995809985,286.0804225473714,332.1813594006932
239.9034325504158,341.30984615476393,53000,347.9386215549627,271.8204831225197,263.65041306539547,279.6683753997426,267.5633421590237,299.98199883455766,247.38619700870123,264.98130047053667,285.55099546903364,230.53830052115583,249.54976269025633,241.3110032717216,335.396697950973,295.5981498381689,237.58478201777666,359.8640405546603,259.7600252912879,335.26901236132795,247.13862449191225,255.3046229567508,261.4200580270982,246.14206470048413,249.74027593056948,253.74160865901752,248.81280135149012,256.1335995809985,286.0804225473714,332.1813594006932
